first_name,last_name,role
Mizuki,Nomura,['Story']
,Maro,['Art']
Shiro,Amano,"['Story', 'Art', 'Story & Art']"
Hikaru,Sugii,['Story']
Gengorou,Tagame,"['Story', 'Art', 'Story & Art']"
Hinako,Takanaga,"['Story', 'Art', 'Story & Art']"
Yoshikazu,Yasuhiko,"['Story', 'Art', 'Story & Art']"
Reno,Amagi,"['Story', 'Art', 'Story & Art']"
Miu,Ootsuki,"['Story', 'Art', 'Story & Art']"
Tamaki,Kirishima,"['Story', 'Art', 'Story & Art']"
Rico,Sakura,"['Story', 'Art', 'Story & Art']"
Reiichi,Hiiro,"['Story', 'Art', 'Story & Art']"
Oonari,Mizushima,"['Story', 'Art', 'Story & Art']"
Akira,Kizuki,"['Story', 'Art', 'Story & Art']"
Hitoma,Iruma,['Story']
Miho,Takeoka,['Art']
,Boichi,"['Story', 'Art', 'Story & Art']"
Narumi,Kakinouchi,"['Story', 'Art', 'Story & Art']"
,Tomozo,"['Story', 'Art', 'Story & Art']"
Kaworu,Watashiya,"['Story', 'Art', 'Story & Art']"
Tatsurou,Karma,"['Story', 'Art', 'Story & Art']"
Hideki,Oowada,"['Story', 'Art', 'Story & Art']"
Momoko,Tenzen,"['Story', 'Art', 'Story & Art']"
Takeshi,Matsu,"['Story', 'Art', 'Story & Art']"
Yuna,Kagesaki,"['Story', 'Art', 'Story & Art']"
Miwa,Sakai,"['Story', 'Art', 'Story & Art']"
Piyoko,Chitose,"['Story', 'Art', 'Story & Art']"
,Takatsu,"['Story', 'Art', 'Story & Art']"
Kasa,Sakaki,['Story']
Kazuhide,Ichikawa,"['Story', 'Art', 'Story & Art']"
Reiji,Gozen,['Story']
Akira,Kasukabe,"['Story', 'Art', 'Story & Art']"
Isaku,Natsume,"['Story', 'Art', 'Story & Art']"
Reibun,Ike,"['Story', 'Art', 'Story & Art']"
,TakayaKi,"['Story', 'Art', 'Story & Art']"
Kotori,Saiou,['Story']
Moyoco,Anno,"['Story', 'Art', 'Story & Art']"
Hideshi,Hino,"['Story', 'Art', 'Story & Art']"
Saeko,Kamon,"['Story', 'Art', 'Story & Art']"
Akaza,Samamiya,"['Story', 'Art', 'Story & Art']"
,Bosshi,"['Story', 'Art', 'Story & Art']"
Satoru,Akahori,['Story']
Yoichi,Takahashi,"['Story', 'Art', 'Story & Art']"
Miyuki,Yorita,"['Story', 'Art', 'Story & Art']"
Ryouko,Yamagishi,"['Story', 'Art', 'Story & Art']"
Kenji,Saitou,['Story']
Masakazu,Ooi,"['Story', 'Art', 'Story & Art']"
,PEACH‐PIT,"['Story', 'Art', 'Story & Art']"
,Haruki,"['Story', 'Art', 'Story & Art']"
Takuya,Fujima,"['Story', 'Art', 'Story & Art']"
Juan,Gotoh,"['Story', 'Art', 'Story & Art']"
Yoshiki,Tanaka,['Story']
Yuu,Asagiri,"['Story', 'Art', 'Story & Art']"
Akira,Ishii,['Art']
Motofumi,Takaoka,"['Story', 'Art', 'Story & Art']"
Takeshi,Takebayashi,"['Story', 'Art', 'Story & Art']"
Mera,Hakamada,"['Story', 'Art', 'Story & Art']"
Jouji,Manabe,"['Story', 'Art', 'Story & Art']"
,Atlus,['Story']
Gosho,Aoyama,"['Story', 'Art', 'Story & Art']"
Akira,Hayase,['Art']
Nagisa,Toono,['Story']
Hiro,Mashima,"['Story', 'Art', 'Story & Art']"
Kazuo,Umezu,"['Story', 'Art', 'Story & Art']"
Otohito,Anno,['Story']
Misora,Kanzaki,['Story']
Satoru,Makimura,"['Story', 'Art', 'Story & Art']"
Sachi,Murakami,"['Story', 'Art', 'Story & Art']"
Kenn,Kurogane,"['Story', 'Art', 'Story & Art']"
Takao,Saitou,"['Story', 'Art', 'Story & Art']"
Ayumu,Shouji,"['Story', 'Art', 'Story & Art']"
Nazuna,Miki,['Story']
Ao,Jyumonji,['Story']
Yuu,Araoshi,['Story']
,Yuunagi,['Art']
Tow,Ubukata,['Story']
Narise,Konohara,['Story']
Chikuma,Juuko,['Story']
Saki,Yamamoto,['Story']
Lalako,Kojima,"['Story', 'Art', 'Story & Art']"
Masaya,Hokazono,"['Story', 'Art', 'Story & Art']"
Tina,Chris,['Story']
,Mikeou,['Art']
,Nilitsu,['Art']
Hisami,Shimada,"['Story', 'Art', 'Story & Art']"
,est em,"['Story', 'Art', 'Story & Art']"
Tsukasa,Seo,['Story']
Hazuki,Ayase,['Art']
,BUNBUN,"['Story', 'Art', 'Story & Art']"
Masumi,Kawasou,"['Story', 'Art', 'Story & Art']"
Yoshihiro,Takahashi,"['Story', 'Art', 'Story & Art']"
Takeshi,Nogami,"['Story', 'Art', 'Story & Art']"
Kazuma,Kodaka,"['Story', 'Art', 'Story & Art']"
Saki,Murakami,['Story']
Kei,Toume,"['Story', 'Art', 'Story & Art']"
Muramasa,Aoi,['Story']
Gai,Mizuki,"['Story', 'Art', 'Story & Art']"
Kou,Maisaka,['Story']
Yumi,Unita,"['Story', 'Art', 'Story & Art']"
Tanaka,Ogeretsu,"['Story', 'Art', 'Story & Art']"
Hazuki,Takeoka,['Story']
Yuki,Yoshihara,"['Story', 'Art', 'Story & Art']"
Saki,Aikawa,"['Story', 'Art', 'Story & Art']"
Kaori,Yuki,"['Story', 'Art', 'Story & Art']"
Arina,Tanemura,"['Story', 'Art', 'Story & Art']"
Toshiki,Yui,"['Story', 'Art', 'Story & Art']"
Karasu,Akitsuki,"['Story', 'Art']"
Mizuki,Kawashita,"['Story', 'Art', 'Story & Art']"
Toshihiko,Tsukiji,['Story']
Yusura,Kankitsu,['Story']
Kazuya,Minekura,"['Story', 'Art', 'Story & Art']"
Kyouko,Aiba,"['Story', 'Art', 'Story & Art']"
Wakuni,Akisato,"['Story', 'Art', 'Story & Art']"
,Ricotta,['Story']
Sakae,Kusama,"['Story', 'Art', 'Story & Art']"
Rui,Tsukiyo,['Story']
Wazuka,Inochi,"['Story', 'Art', 'Story & Art']"
Souya,Himawari,"['Story', 'Art', 'Story & Art']"
,Yasu,"['Story', 'Art', 'Story & Art']"
Mayumi,Aida,"['Story', 'Art', 'Story & Art']"
Yuuki,Amato,['Story']
Rie,Takada,"['Story', 'Art', 'Story & Art']"
Aoi,Kujou,"['Story', 'Art', 'Story & Art']"
Machiko,Kyou,"['Story', 'Art', 'Story & Art']"
Hachi,Itou,"['Story', 'Art', 'Story & Art']"
Futago,Kamikita,"['Story', 'Art', 'Story & Art']"
Takahanada,Pon,"['Story', 'Art', 'Story & Art']"
,Softhouse-Seal,['Story']
Jyogi,Tsukino,"['Story', 'Art', 'Story & Art']"
Kiyotaka,Haimura,"['Story', 'Art', 'Story & Art']"
Sakurako,Gokurakuin,"['Story', 'Art', 'Story & Art']"
Shiki,Midou,['Story']
Momoya,Tachibana,"['Story', 'Art', 'Story & Art']"
Akiko,Higashimura,"['Story', 'Art', 'Story & Art']"
Tetsuo,Hara,"['Story', 'Art', 'Story & Art']"
Megumi,Mizusawa,"['Story', 'Art', 'Story & Art']"
Kai,Asou,"['Story', 'Art', 'Story & Art']"
Kouji,Kumeta,"['Story', 'Art', 'Story & Art']"
Sanami,Matoh,"['Story', 'Art', 'Story & Art']"
Aya,Shouoto,"['Story', 'Art', 'Story & Art']"
Yousuke,Takahashi,"['Story', 'Art', 'Story & Art']"
Kazune,Kawahara,"['Story', 'Art', 'Story & Art']"
Shou,Ichikawa,"['Story', 'Art', 'Story & Art']"
Naoki,Urasawa,"['Story', 'Art', 'Story & Art']"
Ruri,Fujikawa,"['Story', 'Art', 'Story & Art']"
,Itto,"['Story', 'Art', 'Story & Art']"
Shinji,Tachibana,['Story']
Kaho,Miyasaka,"['Story', 'Art', 'Story & Art']"
,Kentarou,"['Story', 'Art', 'Story & Art']"
,Homerun Ken,"['Story', 'Art', 'Story & Art']"
Hyouta,Fujiyama,"['Story', 'Art', 'Story & Art']"
Miyako,Fujisaki,['Story']
Fuminori,Teshima,['Story']
Mohiro,Kitoh,"['Story', 'Art', 'Story & Art']"
Suehiro,Maruo,"['Story', 'Art', 'Story & Art']"
